Strategy,Duration,Final Balance,Win Rate (%),Return (%),Total Trades,Wins,Losses,Profit Factor
sma_rsi,1min,944.06,50.41,-5.59,123,62,61,0.91
sma_rsi,2min,858.46,46.34,-14.15,123,57,66,0.78
sma_rsi,3min,874.93,47.15,-12.51,123,58,65,0.8
sma_rsi,4min,810.87,43.9,-18.91,123,54,69,0.7
sma_rsi,5min,751.5,40.65,-24.85,123,50,73,0.62
macd_cross,1min,104.79,50.14,-89.52,4346,2179,2167,0.9
macd_cross,2min,117.45,50.28,-88.25,4346,2185,2161,0.91
macd_cross,3min,256.06,51.22,-74.39,4346,2226,2120,0.95
macd_cross,4min,436.03,51.86,-56.4,4346,2254,2092,0.97
macd_cross,5min,162.26,50.67,-83.77,4346,2202,2144,0.92
sma_rsi_macd_combo,1min,1009.0,100.0,0.9,1,1,0,inf
sma_rsi_macd_combo,2min,1009.0,100.0,0.9,1,1,0,inf
sma_rsi_macd_combo,3min,1009.0,100.0,0.9,1,1,0,inf
sma_rsi_macd_combo,4min,1009.0,100.0,0.9,1,1,0,inf
sma_rsi_macd_combo,5min,990.0,0.0,-1.0,1,0,1,0.0
bollinger_bands,1min,759.88,50.1,-24.01,521,261,260,0.9
bollinger_bands,2min,582.32,47.41,-41.77,521,247,274,0.81
bollinger_bands,3min,446.25,44.72,-55.38,521,233,288,0.73
bollinger_bands,4min,529.52,46.45,-47.05,521,242,279,0.78
bollinger_bands,5min,429.6,44.34,-57.04,521,231,290,0.72
adx_trend,1min,729.21,51.92,-27.08,1747,907,840,0.97
adx_trend,2min,1150.79,53.29,15.08,1747,931,816,1.03
adx_trend,3min,1107.85,53.18,10.79,1747,929,818,1.02
adx_trend,4min,1365.52,53.81,36.55,1747,940,807,1.05
adx_trend,5min,1195.38,53.41,19.54,1747,933,814,1.03
ichimoku_base_conversion,1min,301.48,51.36,-69.85,4186,2150,2036,0.95
ichimoku_base_conversion,2min,440.94,51.84,-55.91,4186,2170,2016,0.97
ichimoku_base_conversion,3min,961.34,52.82,-3.87,4186,2211,1975,1.01
ichimoku_base_conversion,4min,1488.56,53.37,48.86,4186,2234,1952,1.03
ichimoku_base_conversion,5min,1905.87,53.68,90.59,4186,2247,1939,1.04
breakout,1min,676.6,49.93,-32.34,699,349,350,0.9
breakout,2min,899.86,52.07,-10.01,699,364,335,0.98
breakout,3min,989.59,52.79,-1.04,699,369,330,1.01
breakout,4min,1130.44,53.79,13.04,699,376,323,1.05
breakout,5min,1067.77,53.36,6.78,699,373,326,1.03
trend_follow,1min,688.78,51.75,-31.12,1747,904,843,0.97
trend_follow,2min,1218.32,53.46,21.83,1747,934,813,1.03
trend_follow,3min,1172.87,53.35,17.29,1747,932,815,1.03
trend_follow,4min,1241.71,53.52,24.17,1747,935,812,1.04
trend_follow,5min,1172.87,53.35,17.29,1747,932,815,1.03
stoch_rsi,1min,638.39,47.7,-36.16,457,218,239,0.82
stoch_rsi,2min,462.1,43.98,-53.79,457,201,256,0.71
stoch_rsi,3min,638.39,47.7,-36.16,457,218,239,0.82
stoch_rsi,4min,614.57,47.26,-38.54,457,216,241,0.81
stoch_rsi,5min,650.64,47.92,-34.94,457,219,238,0.83
heikin_ashi,1min,81.84,49.84,-91.82,4346,2166,2180,0.89
heikin_ashi,2min,49.93,49.24,-95.01,4346,2140,2206,0.87
heikin_ashi,3min,80.3,49.82,-91.97,4346,2165,2181,0.89
heikin_ashi,4min,104.79,50.14,-89.52,4346,2179,2167,0.9
heikin_ashi,5min,126.73,50.37,-87.33,4346,2189,2157,0.91
candle_reversal,1min,980.1,0.0,-1.99,2,0,2,0.0
candle_reversal,2min,980.1,0.0,-1.99,2,0,2,0.0
candle_reversal,3min,980.1,0.0,-1.99,2,0,2,0.0
candle_reversal,4min,998.91,50.0,-0.11,2,1,1,0.9
candle_reversal,5min,998.91,50.0,-0.11,2,1,1,0.9
atr_breakout,1min,748.99,47.55,-25.1,286,136,150,0.82
atr_breakout,2min,707.47,46.5,-29.25,286,133,153,0.78
atr_breakout,3min,655.67,45.1,-34.43,286,129,157,0.74
atr_breakout,4min,808.17,48.95,-19.18,286,140,146,0.86
atr_breakout,5min,872.02,50.35,-12.8,286,144,142,0.91
psar,1min,329.44,50.09,-67.06,2106,1055,1051,0.9
psar,2min,355.46,50.28,-64.45,2106,1059,1047,0.91
psar,3min,438.14,50.81,-56.19,2106,1070,1036,0.93
psar,4min,691.44,51.95,-30.86,2106,1094,1012,0.97
psar,5min,390.91,50.52,-60.91,2106,1064,1042,0.92
vwap,1min,1000.0,0.0,0.0,0,0,0,inf
vwap,2min,1000.0,0.0,0.0,0,0,0,inf
vwap,3min,1000.0,0.0,0.0,0,0,0,inf
vwap,4min,1000.0,0.0,0.0,0,0,0,inf
vwap,5min,1000.0,0.0,0.0,0,0,0,inf
ema_ribbon,1min,993.94,52.17,-0.61,46,24,22,0.98
ema_ribbon,2min,1072.47,60.87,7.25,46,28,18,1.4
ema_ribbon,3min,1072.47,60.87,7.25,46,28,18,1.4
ema_ribbon,4min,1135.41,67.39,13.54,46,31,15,1.86
ema_ribbon,5min,1052.28,58.7,5.23,46,27,19,1.28
vol_spike,1min,1000.0,0.0,0.0,0,0,0,inf
vol_spike,2min,1000.0,0.0,0.0,0,0,0,inf
vol_spike,3min,1000.0,0.0,0.0,0,0,0,inf
vol_spike,4min,1000.0,0.0,0.0,0,0,0,inf
vol_spike,5min,1000.0,0.0,0.0,0,0,0,inf
golden_death_cross,1min,977.13,48.0,-2.29,25,12,13,0.83
golden_death_cross,2min,1014.99,56.0,1.5,25,14,11,1.15
golden_death_cross,3min,1054.33,64.0,5.43,25,16,9,1.6
golden_death_cross,4min,1074.56,68.0,7.46,25,17,8,1.91
golden_death_cross,5min,1054.33,64.0,5.43,25,16,9,1.6
price_channel,1min,1000.0,0.0,0.0,0,0,0,inf
price_channel,2min,1000.0,0.0,0.0,0,0,0,inf
price_channel,3min,1000.0,0.0,0.0,0,0,0,inf
price_channel,4min,1000.0,0.0,0.0,0,0,0,inf
price_channel,5min,1000.0,0.0,0.0,0,0,0,inf
bollinger_breakout,1min,745.57,49.9,-25.44,521,260,261,0.9
bollinger_breakout,2min,972.91,52.59,-2.71,521,274,247,1.0
bollinger_breakout,3min,1269.57,55.28,26.96,521,288,233,1.11
bollinger_breakout,4min,1069.92,53.55,6.99,521,279,242,1.04
bollinger_breakout,5min,1318.77,55.66,31.88,521,290,231,1.13
stoch_rsi_reversal,1min,712.51,48.35,-28.75,395,191,204,0.84
stoch_rsi_reversal,2min,525.65,44.3,-47.43,395,175,220,0.72
stoch_rsi_reversal,3min,754.33,49.11,-24.57,395,194,201,0.87
stoch_rsi_reversal,4min,783.56,49.62,-21.64,395,196,199,0.89
stoch_rsi_reversal,5min,783.56,49.62,-21.64,395,196,199,0.89
doom_volatility_contraction,1min,1000.0,0.0,0.0,0,0,0,inf
doom_volatility_contraction,2min,1000.0,0.0,0.0,0,0,0,inf
doom_volatility_contraction,3min,1000.0,0.0,0.0,0,0,0,inf
doom_volatility_contraction,4min,1000.0,0.0,0.0,0,0,0,inf
doom_volatility_contraction,5min,1000.0,0.0,0.0,0,0,0,inf
volatility_ladder_strategy,1min,984.85,50.0,-1.52,28,14,14,0.9
volatility_ladder_strategy,2min,1003.75,53.57,0.37,28,15,13,1.04
volatility_ladder_strategy,3min,1003.75,53.57,0.37,28,15,13,1.04
volatility_ladder_strategy,4min,948.11,42.86,-5.19,28,12,16,0.68
volatility_ladder_strategy,5min,984.85,50.0,-1.52,28,14,14,0.9
sentiment_volatility_stochastic_fade,1min,926.86,48.28,-7.31,87,42,45,0.84
sentiment_volatility_stochastic_fade,2min,981.25,51.72,-1.87,87,45,42,0.96
sentiment_volatility_stochastic_fade,3min,981.25,51.72,-1.87,87,45,42,0.96
sentiment_volatility_stochastic_fade,4min,981.25,51.72,-1.87,87,45,42,0.96
sentiment_volatility_stochastic_fade,5min,909.4,47.13,-9.06,87,41,46,0.8
